"","Year","Warhead","Number","Yield"
"80",1960,"AGM-129 (W80-1)",NA,"10-1,200Kt"
"81",1961,"B61-7/-11, B83-1",NA,"5-150Kt (Variable Yield)"
"82",1961,"AGM-28B (W28)",43,"70-1,450Kt"
"83",1961,"AGM-69A (W69)",NA,"170-200Kt"
"84",1961,"AGM-86B (W80-1)",NA,"5-150Kt (Variable Yield)"
"85",1961,"AGM-129 (W80-1)",NA,"10-1,200Kt"
"86",1962,"B61-7/-11, B83-1",NA,"5-150Kt (Variable Yield)"
"87",1962,"AGM-28B (W28)",184,"70-1,450Kt"
"88",1962,"AGM-69A (W69)",NA,"170-200Kt"
"89",1962,"AGM-86B (W80-1)",NA,"5-150Kt (Variable Yield)"
"90",1962,"AGM-129 (W80-1)",NA,"10-1,200Kt"
"91",1963,"B61-7/-11, B83-1",NA,"5-150Kt (Variable Yield)"
"92",1963,"AGM-28B (W28)",438,"70-1,450Kt"
"93",1963,"AGM-69A (W69)",NA,"170-200Kt"
"94",1963,"AGM-86B (W80-1)",NA,"5-150Kt (Variable Yield)"
"95",1963,"AGM-129 (W80-1)",NA,"10-1,200Kt"
"96",1964,"B61-7/-11, B83-1",NA,"5-150Kt (Variable Yield)"
"97",1964,"AGM-28B (W28)",474,"70-1,450Kt"
"98",1964,"AGM-69A (W69)",NA,"170-200Kt"
"99",1964,"AGM-86B (W80-1)",NA,"5-150Kt (Variable Yield)"
"100",1964,"AGM-129 (W80-1)",NA,"10-1,200Kt"
"101",1965,"B61-7/-11, B83-1",NA,"5-150Kt (Variable Yield)"
"102",1965,"AGM-28B (W28)",453,"70-1,450Kt"
"103",1965,"AGM-69A (W69)",NA,"170-200Kt"
"104",1965,"AGM-86B (W80-1)",NA,"5-150Kt (Variable Yield)"
"105",1965,"AGM-129 (W80-1)",NA,"10-1,200Kt"
"106",1966,"B61-7/-11, B83-1",NA,"5-150Kt (Variable Yield)"
"107",1966,"AGM-28B (W28)",434,"70-1,450Kt"
"108",1966,"AGM-69A (W69)",NA,"170-200Kt"
"109",1966,"AGM-86B (W80-1)",NA,"5-150Kt (Variable Yield)"
"110",1966,"AGM-129 (W80-1)",NA,"10-1,200Kt"
"111",1967,"B61-7/-11, B83-1",NA,"5-150Kt (Variable Yield)"
"112",1967,"AGM-28B (W28)",438,"70-1,450Kt"
"113",1967,"AGM-69A (W69)",NA,"170-200Kt"
"114",1967,"AGM-86B (W80-1)",NA,"5-150Kt (Variable Yield)"
"115",1967,"AGM-129 (W80-1)",NA,"10-1,200Kt"
"116",1968,"B61-7/-11, B83-1",NA,"5-150Kt (Variable Yield)"
"117",1968,"AGM-28B (W28)",382,"70-1,450Kt"
"118",1968,"AGM-69A (W69)",NA,"170-200Kt"
"119",1968,"AGM-86B (W80-1)",NA,"5-150Kt (Variable Yield)"
"120",1968,"AGM-129 (W80-1)",NA,"10-1,200Kt"
"121",1969,"B61-7/-11, B83-1",NA,"5-150Kt (Variable Yield)"
"122",1969,"AGM-28B (W28)",330,"70-1,450Kt"
"123",1969,"AGM-69A (W69)",NA,"170-200Kt"
"124",1969,"AGM-86B (W80-1)",NA,"5-150Kt (Variable Yield)"
"125",1969,"AGM-129 (W80-1)",NA,"10-1,200Kt"
"126",1970,"B61-7/-11, B83-1",NA,"5-150Kt (Variable Yield)"
"127",1970,"AGM-28B (W28)",279,"70-1,450Kt"
"128",1970,"AGM-69A (W69)",NA,"170-200Kt"
"129",1970,"AGM-86B (W80-1)",NA,"5-150Kt (Variable Yield)"
"130",1970,"AGM-129 (W80-1)",NA,"10-1,200Kt"
"131",1971,"B61-7/-11, B83-1",NA,"5-150Kt (Variable Yield)"
"132",1971,"AGM-28B (W28)",276,"70-1,450Kt"
"133",1971,"AGM-69A (W69)",NA,"170-200Kt"
"134",1971,"AGM-86B (W80-1)",NA,"5-150Kt (Variable Yield)"
"135",1971,"AGM-129 (W80-1)",NA,"10-1,200Kt"
"136",1972,"B61-7/-11, B83-1",NA,"5-150Kt (Variable Yield)"
